pair,signal_dt,entry_dt,exit_dt,side,entry,signal_close,stop,target,exit,reason,r,atr,execution_tf
GBPUSD,2021-06-01 08:00:00,2021-06-01 08:00:00,2021-06-01 11:00:00,1,142338.0,142332.0,141867.8665445369,143513.33363865773,141859.8665445369,SL,-1.0170164448138046,313.42230364206137,m30
GBPUSD,2021-11-23 12:00:00,2021-11-23 12:00:00,2021-11-26 16:00:00,-1,133783.0,133790.0,134244.26536608735,132629.83658478162,133383.0,FRIDAY,0.8671797828503124,307.51024405823483,m30
USDJPY,2013-11-12 08:00:00,2013-11-12 08:00:00,2013-11-13 17:30:00,1,99642.0,99634.0,99205.61504795346,100732.96238011635,99198.61504795346,SL,-1.0160408830945566,290.9233013643616,m30
USDJPY,2013-11-14 12:00:00,2013-11-14 12:00:00,2013-11-15 16:00:00,1,100037.0,100028.0,99600.70532134164,101127.73669664591,100148.0,FRIDAY,0.2544152047449508,290.8631191055755,m30
USDJPY,2013-11-21 08:00:00,2013-11-21 08:00:00,2013-11-22 16:00:00,1,100722.0,100712.0,100263.51795247087,101868.20511882282,101081.0,FRIDAY,0.7830186632927923,305.6546983527517,m30
USDJPY,2013-11-25 08:00:00,2013-11-25 08:00:00,2013-11-25 21:30:00,1,101880.0,101870.0,101423.71231132314,103020.71922169217,101416.71231132314,SL,-1.0153411984888154,304.19179245124656,m30
USDJPY,2013-11-27 16:00:00,2013-11-27 16:00:00,2013-11-29 16:00:00,1,102137.0,102131.0,101696.60495695926,103237.98760760186,102295.0,FRIDAY,0.3587687974621095,293.5966953604929,m30
USDJPY,2013-12-02 12:00:00,2013-12-02 12:00:00,2013-12-03 14:30:00,1,102786.0,102782.0,102413.0212544974,103718.44686375649,102406.0212544974,SL,-1.0187678254710426,248.65249700172888,m30
USDJPY,2014-04-01 16:00:00,2014-04-01 16:00:00,2014-04-04 16:00:00,1,103471.0,103464.0,103120.62459225727,104346.93851935683,103651.0,FRIDAY,0.5137346857749976,233.58360516182253,m30
USDJPY,2014-07-30 12:00:00,2014-07-30 12:00:00,2014-07-30 15:00:00,1,102232.0,102225.0,102055.80795130164,102672.4801217459,102665.4801217459,TP,2.4602706248567423,117.46136579890637,m30
USDJPY,2014-08-13 12:00:00,2014-08-13 12:00:00,2014-08-15 16:00:00,1,102457.0,102451.0,102211.74333733578,103070.14165666053,102623.0,FRIDAY,0.6768419589370076,163.50444177614318,m30
USDJPY,2014-08-19 16:00:00,2014-08-19 16:00:00,2014-08-20 12:00:00,1,102803.0,102795.0,102586.93925596263,103343.15186009344,103336.15186009344,TP,2.46760170371907,144.04049602491654,m30
USDJPY,2014-09-01 12:00:00,2014-09-01 12:00:00,2014-09-02 08:30:00,1,104271.0,104266.0,104028.65079042154,104876.87302394616,104869.87302394616,TP,2.4711160601176645,161.56613971897445,m30
USDJPY,2014-09-02 12:00:00,2014-09-02 12:00:00,2014-09-05 01:30:00,1,104925.0,104918.0,104673.10920487846,105554.72698780384,105547.72698780384,TP,2.472210179428671,167.9271967476885,m30
USDJPY,2014-09-09 08:00:00,2014-09-09 08:00:00,2014-09-12 03:30:00,1,106247.0,106241.0,105838.9438102235,107267.14047444126,107260.14047444126,TP,2.4828454997733798,272.0374598510006,m30
USDJPY,2014-09-18 08:00:00,2014-09-18 08:00:00,2014-09-19 16:00:00,1,108826.0,108818.0,108362.48871650988,109984.77820872531,108853.0,FRIDAY,0.0582510091161031,309.0075223267509,m30
USDJPY,2014-09-29 08:00:00,2014-09-29 08:00:00,2014-09-29 14:30:00,1,109670.0,109664.0,109218.04052655754,110799.89868360615,109211.04052655754,SL,-1.0154881143361898,301.3063156283066,m30
